$r_c$,$U_lr$,$U_sr$,$U_total$,$U/N$
1.000000,-714.886862,1634.872898,919.986036,3.593695
1.125000,-629.299344,1542.738435,913.439091,3.568121
1.250000,-501.057865,1407.996759,906.938894,3.542730
1.375000,-392.150514,1301.797108,909.646594,3.553307
1.500000,-308.429570,1224.575059,916.145488,3.578693
1.625000,-245.377233,1159.556202,914.178970,3.571012
1.750000,-197.762938,1108.004984,910.242046,3.555633
1.875000,-161.428531,1074.291898,912.863367,3.565873
2.000000,-133.343155,1046.485335,913.142180,3.566962
2.125000,-111.346537,1022.770652,911.424115,3.560250
2.250000,-93.899619,1006.072952,912.173332,3.563177
2.375000,-79.896976,992.117719,912.220744,3.563362
2.500000,-68.535437,981.298230,912.762793,3.565480
2.625000,-59.224029,971.818199,912.594169,3.564821
2.750000,-51.522349,964.021563,912.499214,3.564450
2.875000,-45.098137,957.444146,912.346009,3.563852
3.000000,-39.697777,951.906818,912.209042,3.563317
3.125000,-35.125543,947.594572,912.469030,3.564332
3.250000,-31.228824,943.708722,912.479898,3.564375
3.375000,-27.887480,940.359814,912.472334,3.564345
3.500000,-25.006084,937.446973,912.440890,3.564222
3.625000,-22.508199,934.971979,912.463780,3.564312
3.750000,-20.332122,932.767157,912.435035,3.564199
3.875000,-18.427681,930.832064,912.404383,3.564080
4.000000,-16.753797,929.240968,912.487171,3.564403
